date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:11	12834/12834	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2021:49:22%20GMT	http://www.bobsrehabcentre.com/rmt.html	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/rmt.html	(from http://www.bobsrehabcentre.com/)
16:43:11	27090/27090	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202015%2003:49:51%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/chm.png	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/chm.png	(from http://www.bobsrehabcentre.com/)
16:43:11	12047/12047	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202017%2021:49:22%20GMT	http://www.bobsrehabcentre.com/other.html	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/other.html	(from http://www.bobsrehabcentre.com/)
16:43:11	2966/2966	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202015%2003:49:54%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/other.png	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/other.png	(from http://www.bobsrehabcentre.com/)
16:43:12	55040/55040	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Nov%202015%2003:49:50%20GMT	http://www.bobsrehabcentre.com/assets/img/portfolio/acupuncture.png	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/img/portfolio/acupuncture.png	(from http://www.bobsrehabcentre.com/)
16:43:12	5555/5555	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd497a-15b3%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from http://www.bobsrehabcentre.com/)
16:43:13	29110/29110	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Nov%202015%2003:49:48%20GMT	http://www.bobsrehabcentre.com/assets/js/bootstrap.min.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/js/bootstrap.min.js	(from http://www.bobsrehabcentre.com/)
16:43:13	3995/3995	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Nov%202015%2003:49:48%20GMT	http://www.bobsrehabcentre.com/assets/js/retina-1.1.0.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/js/retina-1.1.0.js	(from http://www.bobsrehabcentre.com/)
16:43:13	5307/5307	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Nov%202015%2003:49:48%20GMT	http://www.bobsrehabcentre.com/assets/js/jquery.hoverdir.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/js/jquery.hoverdir.js	(from http://www.bobsrehabcentre.com/)
16:43:13	3768/3768	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Nov%202015%2003:49:48%20GMT	http://www.bobsrehabcentre.com/assets/js/jquery.hoverex.min.js	C:/Users/jyyae/Desktop/websiteDL/TestProject/www.bobsrehabcentre.com/assets/js/jquery.hoverex.min.js	(from http://www.bobsrehabcentre.com/)
